date,code,name
2022-05-12,3182,オイシックス・ラ・大地
2022-05-12,3185,夢展望
2022-05-12,3221,ヨシックスホールディングス
2022-05-12,3284,フージャースホールディングス
2022-05-12,3392,デリカフーズホールディングス
2022-05-12,3401,帝人
2022-05-12,3434,アルファＣｏ
2022-05-12,3435,サンコーテクノ
2022-05-12,3443,川田テクノロジーズ
2022-05-12,3477,フォーライフ
2022-05-12,3521,テルマー湯ホールディングス
2022-05-12,3537,昭栄薬品
2022-05-12,3569,セーレン
2022-05-12,3611,マツオカコーポレーション
2022-05-12,3648,ＡＧＳ
2022-05-12,3676,デジタルハーツホールディングス
2022-05-12,3682,エンカレッジ・テクノロジ
2022-05-12,3741,セック
2022-05-12,3773,アドバンスト・メディア
2022-05-12,3779,ジェイ・エスコムホールディングス
2022-05-12,3793,ドリコム
2022-05-12,3796,いい生活
2022-05-12,3817,ＳＲＡホールディングス
2022-05-12,3853,アステリア
2022-05-12,3864,三菱製紙
2022-05-12,3896,阿波製紙
2022-05-12,3937,Ｕｂｉｃｏｍホールディングス
2022-05-12,3954,昭和パックス
2022-05-12,4008,住友精化
2022-05-12,4023,クレハ
2022-05-12,4042,東ソー
2022-05-12,4046,大阪ソーダ
2022-05-12,4088,エア・ウォーター
2022-05-12,4092,日本化学工業
2022-05-12,4095,日本パーカライジング
2022-05-12,4102,丸尾カルシウム
2022-05-12,4114,日本触媒
2022-05-12,4118,カネカ
2022-05-12,4182,三菱瓦斯化学
2022-05-12,4193,ファブリカホールディングス
2022-05-12,4208,ＵＢＥ
2022-05-12,4246,ダイキョーニシカワ
2022-05-12,4272,日本化薬
2022-05-12,4274,細谷火工
2022-05-12,4337,ぴあ
2022-05-12,4367,広栄化学
2022-05-12,4386,ＳＩＧグループ
2022-05-12,4406,新日本理化
2022-05-12,4414,フレクト
2022-05-12,4436,ミンカブ・ジ・インフォノイド
2022-05-12,4444,インフォネット
2022-05-12,4471,三洋化成工業
2022-05-12,4488,ＡＩ　ｉｎｓｉｄｅ
2022-05-12,4527,ロート製薬
2022-05-12,4543,テルモ
2022-05-12,4544,Ｈ．Ｕ．グループホールディングス
2022-05-12,4552,ＪＣＲファーマ
2022-05-12,4571,ＮＡＮＯホールディングス
2022-05-12,4584,キッズウェル・バイオ
2022-05-12,4594,ブライトパス・バイオ
2022-05-12,4650,ＳＤエンターテイメント
2022-05-12,4664,アール・エス・シー
2022-05-12,4676,フジ・メディア・ホールディングス
