"コード","銘柄名","市場","現在値","前日比(%)","ベータ(対TOPIX)"
"3393","スターティアＨＬＤＧ","東P","2957","+257.0(+9.52%)","0.75"
"3395","サンマルクＨＬＤＧ","東P","2570","-55.0(-2.10%)","0.44"
"3396","フェリシモ","東S","842","+0.0(+0.00%)","0.17"
"3397","トリドールＨＬＤＧ","東P","3750.0","-8.0(-0.21%)","0.34"
"3399","丸千代山岡家","東S","3050","-25.0(-0.81%)","0.66"
"3401","帝人","東P","1615.5","-66.0(-3.93%)","0.88"
"3402","東レ","東P","1076.5","-73.5(-6.39%)","0.99"
"3405","クラレ","東P","1602.5","-28.5(-1.75%)","1.03"
"3407","旭化成","東P","1690.0","-38.0(-2.20%)","0.88"
"3409","北紡","東S","115","-2.0(-1.71%)","0.88"
"3415","ＴＯＫＹＯ　ＢＡＳＥ","東P","332","+0.0(+0.00%)","0.76"
"3416","ピクスタ","東S","860","-10.0(-1.15%)","0.65"
"3417","大木ヘルスケアＨＬＤＧ","東S","1156","-199.0(-14.69%)","0.52"
"3418","バルニバービ","東G","1095","-1.0(-0.09%)","0.44"
"3419","アートグリーン","名N","1920","+0.0(+0.00%)","0.11"
"3420","ケー・エフ・シー","東S","1550","-22.0(-1.40%)","0.40"
"3421","稲葉製作所","東S","1679","-7.0(-0.42%)","0.53"
"3422","Ｊ−ＭＡＸ","東S","471","+11.0(+2.39%)","0.76"
"3423","エスイー","東S","263","-8.0(-2.95%)","0.50"
"3426","アトムリビンテック","東S","-","- (-%)","0.17"
"3431","宮地エンジニアリンググループ","東P","1508","-36.0(-2.33%)","0.86"
"3433","トーカロ","東P","3200","-115.0(-3.47%)","1.18"
"3434","アルファＣｏ","東S","1212","-38.0(-3.04%)","0.61"
"3435","サンコーテクノ","東S","1370","-7.0(-0.51%)","0.63"
"3436","ＳＵＭＣＯ","東P","2992.0","-98.0(-3.17%)","1.49"
"3437","特殊電極","東S","2846","-149.0(-4.97%)","0.23"
"3439","三ツ知","東S","720","-1.0(-0.14%)","0.45"
"3440","日創グループ","東S","934","+4.0(+0.43%)","0.67"
"3441","山王","東S","2486","-37.0(-1.47%)","0.93"
"3442","ＭＩＥコーポレーション","名M","1565","+0.0(+0.00%)","0.22"
"3443","川田テクノロジーズ","東P","1270","-49.0(-3.71%)","1.13"
"3444","菊池製作所","東S","1325","-96.0(-6.76%)","0.70"
"3445","ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ","東P","6680","+40.0(+0.60%)","1.22"
"3446","ジェイテックコーポレーション","東S","1735","-16.0(-0.91%)","1.50"
"3447","信和","東S","911","-7.0(-0.76%)","0.59"
"3449","テクノフレックス","東S","6170","+430.0(+7.49%)","0.64"
"3451","トーセイ・リート投資法人","東REIT","132600","-1,500.0(-1.12%)","0.29"
"3452","ビーロット","東S","1413","+7.0(+0.50%)","1.04"
"3454","ファーストブラザーズ","東S","1176","-5.0(-0.42%)","0.70"
"3455","ヘルスケア＆メディカル投資法人","東REIT","110000","-1,700.0(-1.52%)","0.31"
"3457","Ａｎｄ　ＤｏＨＬＤＧ","東P","1057","-26.0(-2.40%)","0.70"
"3459","サムティ・レジデンシャル投資","東REIT","101000","-900.0(-0.88%)","0.26"
"3461","パルマ","東S","566","+3.0(+0.53%)","0.69"
"3462","野村不動産マスターファンド","東REIT","154600","-1,200.0(-0.77%)","0.26"
"3463","いちごホテルリート投資法人","東REIT","108300","+1,000.0(+0.93%)","0.35"
"3465","ケイアイスター不動産","東P","3475","-25.0(-0.71%)","0.78"
"3466","ラサールロジポート投資法人","東REIT","146900","-2,500.0(-1.67%)","0.24"
"3467","アグレ都市デザイン","東S","2563","-62.0(-2.36%)","0.77"
"3468","スターアジア不動産投資法人","東REIT","55000","-700.0(-1.26%)","0.33"
"3469","デュアルタップ","東S","1000","+2.0(+0.20%)","0.37"
"3470","マリモ地方創生リート投資法人","東REIT","109700","-100.0(-0.09%)","0.38"
"3471","三井不動産ロジスティクスパーク","東REIT","108400","-1,300.0(-1.19%)","0.30"
"3472","日本ホテル＆レジデンシャル投資","東REIT","68900","-200.0(-0.29%)","0.37"
"3474","Ｇ―ＦＡＣＴＯＲＹ","東G","546","-1.0(-0.18%)","0.51"
"3475","グッドコムアセット","東P","1371","-58.0(-4.06%)","0.71"
"3476","投資法人みらい","東REIT","44650","-350.0(-0.78%)","0.29"
"3477","フォーライフ","東G","787","-2.0(-0.25%)","0.30"
"3479","ティーケーピー","東G","1613","-75.0(-4.44%)","0.90"
"3480","ジェイ・エス・ビー","東P","5240","-30.0(-0.57%)","0.65"
"3481","三菱地所物流リート投資法人","東REIT","120500","-1,000.0(-0.82%)","0.28"
"3482","ロードスターキャピタル","東P","2883","-72.0(-2.44%)","1.09"
"3484","イノベーションＨＬＤＧ","東S","1102","-9.0(-0.81%)","0.39"
"3486","グローバル・リンク・マネジメン","東P","1797","+16.0(+0.90%)","1.21"
"3487","ＣＲＥロジスティクスファンド","東REIT","148900","-2,300.0(-1.52%)","0.29"
"3488","セントラル・リート投資法人","東REIT","107200","-200.0(-0.19%)","0.32"
"3489","フェイスネットワーク","東S","755","+62.0(+8.95%)","0.91"
"3490","アズ企画設計","東S","2796","-8.0(-0.29%)","0.52"
"3491","ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ","東G","1511","-41.0(-2.64%)","0.99"
"3492","ＭＩＲＡＲＴＨ不動産投資法人","東REIT","85100","-1,100.0(-1.28%)","0.33"
"3494","マリオン","東S","343","-5.0(-1.44%)","1.07"
"3495","香陵住販","東S","2395","-5.0(-0.21%)","0.24"
"3496","アズーム","東P","4295","+50.0(+1.18%)","0.78"
"3498","霞ヶ関キャピタル","東P","5980","-40.0(-0.66%)","1.44"
"3501","ＳＵＭＩＮＯＥ","東P","1261","-5.0(-0.39%)","0.59"
"3504","丸八ＨＬＤＧ","名M","1234","+68.0(+5.83%)","0.48"
"3512","日本フエルト","東S","764","-13.0(-1.67%)","0.52"
"3513","イチカワ","東S","2948","+13.0(+0.44%)","0.61"
"3521","テルマー湯ＨＬＤＧ","東S","151","-2.0(-1.31%)","0.73"
"3524","日東製網","東S","1422","-5.0(-0.35%)","0.39"
"3529","アツギ","東S","1037","+16.0(+1.57%)","0.64"
"3536","アクサスＨＬＤＧ","東S","130","+1.0(+0.78%)","0.22"
"3537","昭栄薬品","東S","1650","+30.0(+1.85%)","0.49"
"3538","ウイルプラスＨＬＤＧ","東S","950","+13.0(+1.39%)","0.64"
"3539","ＪＭ　ＨＬＤＧ","東P","1280","-44.0(-3.32%)","0.48"
"3542","ベガコーポレーション","東G","1514","-52.0(-3.32%)","0.41"
"3543","コメダＨＬＤＧ","東P","2926","-26.0(-0.88%)","0.31"
"3544","サツドラＨＬＤＧ","東S","808","-5.0(-0.62%)","0.35"
"3546","アレンザＨＬＤＧ","東P","1455","+0.0(+0.00%)","0.44"
"3547","ユニシアＨＬＤＧ","東S","1839","+28.0(+1.55%)","0.75"
"3548","バロックジャパンリミテッド","東P","724","-1.0(-0.14%)","0.38"
"3549","クスリのアオキＨＬＤＧ","東P","3861.0","+11.0(+0.29%)","0.44"
"3550","スタジオアタオ","東G","223","+1.0(+0.45%)","0.82"
"3551","ダイニック","東S","1375","+77.0(+5.93%)","0.66"
"3553","共和レザー","東S","872","-6.0(-0.68%)","0.88"
"3556","リネットジャパングループ","東G","775","-16.0(-2.02%)","1.05"
"3557","ユナイテッド＆コレクティブ","東G","549","-9.0(-1.61%)","0.16"
"3558","ジェイドグループ","東G","2116","+48.0(+2.32%)","1.24"
"3559","ピーバンドットコム","東S","450","-4.0(-0.88%)","0.94"
"3560","ほぼ日","東S","4100","+135.0(+3.40%)","0.18"
"3561","力の源ＨＬＤＧ","東P","1442","+5.0(+0.35%)","0.84"
"3562","Ｎｏ．１","東S","1572","-28.0(-1.75%)","0.70"
"3563","ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭ","東P","10465.0","+125.0(+1.21%)","0.75"
"3565","アセンテック","東S","476","-1.0(-0.21%)","0.98"
"3566","ユニフォームネクスト","東G","908","-11.0(-1.20%)","0.52"
"3569","セーレン","東P","3255","-20.0(-0.61%)","0.61"
"3571","ソトー","東S","697","-3.0(-0.43%)","0.35"
"3577","東海染工","東S","945","+15.0(+1.61%)","0.23"
"3580","小松マテーレ","東P","728","+21.0(+2.97%)","0.65"
"3583","オーベクス","東S","1184","-32.0(-2.63%)","0.46"
"3591","ワコールＨＬＤＧ","東P","4340.0","-40.0(-0.91%)","0.63"
"3597","自重堂","東S","10230","-50.0(-0.49%)","0.26"
"3598","山喜","東S","159","+0.0(+0.00%)","0.60"
"3600","フジックス","東S","1652","+11.0(+0.67%)","0.36"
"3607","クラウディアＨＬＤＧ","東S","352","+1.0(+0.28%)","0.64"
"3608","ＴＳＩ　ＨＬＤＧ","東P","1164","-25.0(-2.10%)","0.62"
"3611","マツオカコーポレーション","東S","2437","+71.0(+3.00%)","0.90"
"3612","ワールド","東P","1511","-2.0(-0.13%)","0.63"
"3622","ネットイヤーグループ","東S","507","-11.0(-2.12%)","0.51"
"3623","ビリングシステム","東G","1059","+33.0(+3.22%)","0.51"
"3624","アクセルマーク","東G","63","+2.0(+3.28%)","1.02"
"3625","テックファームＨＬＤＧ","東G","601","-31.0(-4.91%)","0.90"
"3626","ＴＩＳ","東P","3502.0","+49.0(+1.42%)","0.49"
"3627","テクミラＨＬＤＧ","東S","293","-6.0(-2.01%)","0.89"
"3628","データホライゾン","東G","575","-6.0(-1.03%)","0.61"
"3632","グリーＨＬＤＧ","東P","408","+3.0(+0.74%)","0.57"
